instance_name,initial_size,initial_depth,min_depth,min_swaps
graycode6_47,5,5,5,3
ex1_226,7,5,7,6
xor5_254,7,5,7,6
4gt11_84,18,11,15,4
ex-1_166,19,12,16,3
4mod5-v0_20,20,12,13,4
ham3_102,20,13,18,4
4mod5-v1_22,21,12,15,5
mod5d1_63,22,13,16,7
4gt11_83,23,16,16,5
4gt11_82,27,20,22,7
rd32-v0_66,34,20,29,8
4mod5-v0_19,35,21,24,5
mod5mils_65,35,21,24,6
4mod5-v1_24,36,21,23,8
alu-v0_27,36,21,29,9
rd32-v1_68,36,21,30,8
3_17_13,36,22,32,7
alu-v1_28,37,22,26,8
alu-v1_29,37,22,29,8
alu-v2_33,37,22,29,9
alu-v3_35,37,22,23,7
alu-v4_37,37,22,30,9
miller_11,50,29,43,9
decod24-v0_38,51,30,43,11
alu-v3_34,52,30,33,7
decod24-v2_43,52,30,45,11
mod5d2_64,53,32,38,12
4gt13_92,66,38,47,11
4gt13-v1_93,68,39,47,11
4mod5-v0_18,69,40,47,12
one-two-three-v2_100,69,40,49,13
4mod5-v1_23,69,41,48,13
one-two-three-v3_101,70,40,47,11
4mod5-bdd_287,70,41,46,8
qe_qft_4,71,36,39,5
decod24-bdd_294,73,40,50,10
4gt5_75,83,47,55,14
rd32_270,84,47,60,16
alu-bdd_288,84,48,53,10
alu-v0_26,84,49,64,15
decod24-v1_41,85,50,58,13
4gt5_76,91,56,67,15
4gt13_91,103,61,70,15
qe_qft_5,107,51,53,2
4gt13_90,107,65,76,16
alu-v4_36,115,66,82,16
4gt5_77,131,74,85,17
rd53_138,132,56,65,18
one-two-three-v1_99,132,76,97,24
one-two-three-v0_98,146,82,101,22
4gt10-v1_81,148,84,107,24
decod24-v3_45,150,84,101,22
aj-e11_165,151,86,107,26
4mod7-v0_94,162,92,104,17
alu-v2_32,163,92,113,23
4mod7-v1_96,164,94,106,21
mini_alu_305,173,69,78,24
cnt3-5_179,175,61,72,20
mod10_176,178,101,124,25
4gt4-v0_80,179,101,115,21
4gt12-v0_88,194,108,130,23
qft_10,200,63,89,24
0410184_169,211,104,121,25
sys6-v0_111,215,75,91,22
4_49_16,217,125,154,34
4gt12-v1_89,228,130,140,16
rd73_140,230,92,121,30
4gt4-v0_79,231,132,148,18
hwb4_49,233,134,178,38
4gt4-v0_78,235,137,151,21
mod10_171,244,139,172,37
4gt12-v0_87,247,131,146,16
4gt12-v0_86,251,135,155,19
4gt4-v0_72,258,137,155,21
sym6_316,270,135,165,40
4gt4-v1_74,273,154,178,26
rd53_311,275,124,148,35
mini-alu_167,288,162,208,45
one-two-three-v0_97,290,163,210,47
rd53_135,296,159,196,40
ham7_104,320,185,214,35
sym9_146,328,127,173,49
decod24-enable_126,338,190,220,36
mod8-10_178,342,193,221,29
rd84_142,343,110,151,51
4gt4-v0_73,395,227,263,46
ex3_229,403,226,259,30
mod8-10_177,440,251,295,42
alu-v2_31,451,255,333,80
C17_204,467,253,296,36
rd53_131,469,261,319,56
ising_model_10,480,70,87,7
cnt3-5_180,485,209,274,70
alu-v2_30,504,285,342,60
qft_16,512,105,202,71
mod5adder_127,555,302,373,65
rd53_133,580,327,397,71
majority_239,612,344,402,67
ex2_227,631,355,450,83
ising_model_13,633,71,84,7
cm82a_208,650,337,391,39
sf_276,778,435,474,31
sf_274,781,436,466,30
ising_model_16,786,71,87,14
con1_216,954,508,602,93
wim_266,986,514,633,104
rd53_130,1043,569,733,126
f2_232,1206,668,846,151
cm152a_212,1221,684,823,140
rd53_251,1291,712,910,167
hwb5_53,1336,758,967,169
cm42a_207,1776,940,1142,184
pm1_249,1776,940,1141,176
dc1_220,1914,1038,1208,163
squar5_261,1993,1049,1254,177
sqrt8_260,3009,1659,2028,336
z4_268,3073,1644,1986,288
radd_250,3213,1781,2184,343
adr4_197,3439,1839,2199,335
sym6_145,3888,2187,2725,416
misex1_241,4813,2676,2989,271
rd73_252,5321,2867,3459,496
cycle10_2_110,6050,3386,4128,607
hwb6_56,6723,3736,4806,854
square_root_7,7630,3847,4582,696
ham15_107,8763,4819,5709,744
dc2_222,9462,5242,6371,918
sqn_258,10223,5458,6655,949
inc_237,10619,5863,7014,971
cm85a_209,11414,6374,7927,1263
rd84_253,13658,7261,9222,1614
root_255,17159,8835,11306,1910
co14_215,17936,8570,10839,1635
mlp4_245,18852,10328,12888,2095
urf2_277,20112,11390,15440,3280
sym9_148,21504,12087,13587,1348
life_238,22445,12511,15624,2534
hwb7_59,24379,13437,17571,3263
max46_240,27126,14257,17331,2304
clip_206,33827,17879,23352,4193
9symml_195,34881,19235,23995,3881
sym9_193,34881,19235,24085,4070
dist_223,38046,19694,25628,4490
sao2_257,38577,19563,25434,4561
urf5_280,49829,27822,37815,8215
urf1_278,54766,30955,41637,9178
sym10_262,64283,35572,45596,8028
hwb8_113,69380,38717,51443,10280
urf2_152,80480,44100,58606,11875
urf3_279,125362,70702,91462,17657
plus63mod4096_163,128744,72246,94430,18381
urf5_158,164416,89145,120274,25256
urf6_160,171840,93645,122267,25169
urf1_149,184864,99585,134382,28686
plus63mod8192_164,187112,105142,137648,26562
hwb9_119,207775,116199,146419,24834
ground_state_estimation_10,390180,245614,249677,4737
urf3_155,423488,229365,292049,52866
urf4_187,512064,264330,321422,46275
